ID,DATE,GLU_g_kg,BW,time_0,time_15,time_30,time_60,time_90
9353,10/13/25,2,47.12,132,177,200,168,156
9354,10/13/25,2,42.25,112,177,136,161,128
9355,10/13/25,2,41.33,112,163,242,270,186
9356,10/13/25,2,35.06,73,157,221,221,142
9357,10/13/25,2,42.31,125,145,144,137,124
9358,10/13/25,2,59.91,161,161,152,160,143
9359,10/13/25,2,29.55,96,171,155,126,109
9360,10/13/25,2,30.95,113,172,139,151,136
9361,10/13/25,2,61.93,127,188,178,223,199
9362,10/13/25,2,42.3,119,170,203,156,164
9363,10/13/25,2,30.89,120,115,90,129,127
9364,10/13/25,2,42.7,116,163,164,164,159
9366,10/13/25,2,43.51,131,169,145,156,157
9367,10/13/25,2,26.93,98,158,161,141,122
9368,10/13/25,2,38.95,121,144,107,143,143
9369,10/13/25,2,33.1,77,129,139,135,105
9370,10/13/25,2,36.77,105,207,176,147,121
9372,10/13/25,2,30.09,101,124,163,120,120
9373,10/13/25,2,39.83,152,174,161,142,176
9374,10/13/25,2,51.16,112,109,107,90,147
9375,10/13/25,2,30.28,113,138,113,127,102
9376,10/13/25,2,38.26,157,159,166,156,130
9377,10/13/25,2,42,130,187,191,200,158
9378,10/13/25,2,27.48,75,162,186,132,86