"ID","KCAL","DATE"
4017,34.4817,2024-04-03
4018,28.5219,2024-04-03
4019,36.2791,2024-04-03
4020,11.1544,2024-04-03
4021,4.88959999999999,2024-04-03
4022,16.5406,2024-04-03
4017,17.028,2024-04-05
4018,22.1364,2024-04-05
4019,25.1636,2024-04-05
4020,17.6866,2024-04-05
4021,24.3716,2024-04-05
4022,25.4412,2024-04-05
4017,36.6102,2024-04-08
4018,30.6504,2024-04-08
4019,33.9614,2024-04-08
4020,31.1712,2024-04-08
4021,36.481,2024-04-08
4022,35.908,2024-04-08
4017,25.3055,2024-04-10
4018,22.9878,2024-04-10
4019,30.4612,2024-04-10
4020,20.1314,2024-04-10
4021,24.066,2024-04-10
4022,20.9718,2024-04-10
4017,24.9744,2024-04-12
4018,20.4336,2024-04-12
4019,26.7245,2024-04-12
4020,19.864,2024-04-12
4021,25.7086,2024-04-12
4022,25.5176,2024-04-12
4017,36.6575,2024-04-15
4018,29.7517,2024-04-15
4019,36.894,2024-04-15
4020,29.4522,2024-04-15
4021,34.5328,2024-04-15
4022,29.2612,2024-04-15
4017,26.015,2024-04-17
4018,23.8392,2024-04-17
4019,24.3122,2024-04-17
4020,13.0262,2024-04-17
4021,4.73680000000001,2024-04-17
4022,16.3496,2024-04-17
4017,22.3256,2024-04-19
4018,19.8187,2024-04-19
4019,22.3256,2024-04-19
4020,21.1628,2024-04-19
4021,17.1518,2024-04-19
4022,20.3988,2024-04-19
4017,38.313,2024-04-22
4018,34.6236,2024-04-22
4019,40.0158,2024-04-22
4020,29.223,2024-04-22
4021,33.807,2024-04-22
4022,30.0634,2024-04-22
7858,0,2024-04-22
7859,0,2024-04-22
4017,26.6772,2024-04-24
4018,23.7919,2024-04-24
4019,27.6232,2024-04-24
4020,18.2214,2024-04-24
4021,17.9922,2024-04-24
4022,20.7808,2024-04-24
7858,28.7584,2024-04-24
7859,14.8598,2024-04-24
4017,21.8053,2024-04-26
4018,17.6902,2024-04-26
4019,20.7647,2024-04-26
4020,23.1492,2024-04-26
4021,26.2816,2024-04-26
4022,21.0864,2024-04-26
7858,15.6563,2024-04-26
7859,18.2214,2024-04-26
4017,37.0832,2024-04-29
4018,32.0694,2024-04-29
4019,37.7454,2024-04-29
4020,27.3894,2024-04-29
4021,31.6678,2024-04-29
4022,28.5736,2024-04-29
7858,32.4478,2024-04-29
7859,38.0854,2024-04-29
4017,32.8262,2024-05-01
4018,28.0489,2024-05-01
4019,26.5826,2024-05-01
4020,20.6662,2024-05-01
4021,19.6348,2024-05-01
4022,22.8054,2024-05-01
7858,26.5353,2024-05-01
7859,26.3198,2024-05-01
4017,19.393,2024-05-03
4018,17.3118,2024-05-03
4019,21.1431,2024-05-03
4020,19.291,2024-05-03
4021,22.3088,2024-05-03
4022,19.7112,2024-05-03
7858,20.7647,2024-05-03
7859,26.4726,2024-05-03
4017,42.2389,2024-05-06
4018,37.0832,2024-05-06
4019,35.6169,2024-05-06
4020,29.9106,2024-05-06
4021,28.5354,2024-05-06
4022,29.987,2024-05-06
7858,33.4411,2024-05-06
7859,27.7714,2024-05-06
4017,27.7651,2024-05-08
4018,27.1502,2024-05-08
4019,23.3189,2024-05-08
4020,20.9718,2024-05-08
4021,21.2774,2024-05-08
4022,22.3088,2024-05-08
7858,25.9677,2024-05-08
7859,20.7426,2024-05-08
4017,5.77060000000001,2024-05-10
4018,13.9535,2024-05-10
4019,16.9334,2024-05-10
4020,14.898,2024-05-10
4021,11.7656,2024-05-10
4022,15.853,2024-05-10
7858,17.6429,2024-05-10
7859,22.1942,2024-05-10
4017,14.4738,2024-05-13
4018,28.7584,2024-05-13
4019,31.0288,2024-05-13
4020,30.9038,2024-05-13
4021,35.4114,2024-05-13
4022,28.1916,2024-05-13
7858,19.7241,2024-05-13
7859,38.3146,2024-05-13
4017,19.7714,2024-05-15
4018,19.866,2024-05-15
4019,25.2109,2024-05-15
4020,19.5584,2024-05-15
4021,20.7808,2024-05-15
4022,19.482,2024-05-15
7858,25.2109,2024-05-15
7859,22.8436,2024-05-15
4017,22.8459,2024-05-17
4018,17.028,2024-05-17
4019,21.3796,2024-05-17
4020,23.1874,2024-05-17
4021,20.5898,2024-05-17
4022,20.628,2024-05-17
7858,17.2645,2024-05-17
7859,30.2162,2024-05-17
4017,28.5692,2024-05-20
4018,35.5223,2024-05-20
4019,34.8128,2024-05-20
4020,27.6568,2024-05-20
4021,34.0744,2024-05-20
4022,29.8724,2024-05-20
7858,31.1234,2024-05-20
7859,29.9488,2024-05-20
4017,18.0686,2024-05-22
4018,22.9405,2024-05-22
4019,23.2243,2024-05-22
4020,23.4166,2024-05-22
4021,15.8148,2024-05-22
4022,23.0728,2024-05-22
7858,21.7107,2024-05-22
7859,19.2146,2024-05-22
4017,10.1695,2024-05-24
4018,14.4265,2024-05-24
4019,17.6902,2024-05-24
4020,18.527,2024-05-24
4021,20.7808,2024-05-24
4022,21.0864,2024-05-24
7858,14.4738,2024-05-24
7859,20.437,2024-05-24
4017,29.8463,2024-05-27
4018,28.0016,2024-05-27
4019,31.0761,2024-05-27
4020,25.7468,2024-05-27
4021,34.0362,2024-05-27
4022,31.5532,2024-05-27
7858,26.015,2024-05-27
7859,37.0158,2024-05-27
4017,29.6098,2024-05-29
4018,22.1837,2024-05-29
4019,21.6161,2024-05-29
4020,18.4506,2024-05-29
4021,16.5024,2024-05-29
4022,25.212,2024-05-29
7858,18.4943,2024-05-29
7859,16.3114,2024-05-29
4017,16.082,2024-05-31
4018,13.1021,2024-05-31
4019,20.8593,2024-05-31
4020,18.2596,2024-05-31
4021,16.6934,2024-05-31
4022,23.2638,2024-05-31
7858,21.0958,2024-05-31
7859,16.9226,2024-05-31
4017,31.218,2024-06-03
4018,28.2854,2024-06-03
4019,34.529,2024-06-03
4020,30.9038,2024-06-03
4021,33.3868,2024-06-03
4022,34.0362,2024-06-03
7858,29.2314,2024-06-03
7859,31.6296,2024-06-03
4017,26.2988,2024-06-05
4018,23.9338,2024-06-05
4019,23.9338,2024-06-05
4020,19.5202,2024-06-05
4021,16.4642,2024-06-05
4022,23.7222,2024-06-05
7858,24.8325,2024-06-05
7859,13.4082,2024-06-05
4017,14.8049,2024-06-07
4018,14.5684,2024-06-07
4019,9.8857,2024-06-07
4020,18.2214,2024-06-07
4021,24.639,2024-06-07
4022,14.2868,2024-06-07
7858,12.6291,2024-06-07
7859,17.6102,2024-06-07
4017,27.434,2024-06-10
4018,30.0355,2024-06-10
4019,25.7785,2024-06-10
4020,29.5668,2024-06-10
4021,29.8724,2024-06-10
4022,28.8028,2024-06-10
7858,31.7856,2024-06-10
7859,27.9624,2024-06-10
4017,19.9133,2024-06-12
4018,24.123,2024-06-12
4019,21.6634,2024-06-12
4020,17.763,2024-06-12
4021,16.8462,2024-06-12
4022,19.1382,2024-06-12
7858,17.3591,2024-06-12
7859,21.1628,2024-06-12
4017,14.5684,2024-06-14
4018,14.1427,2024-06-14
4019,22.3729,2024-06-14
4020,22.0796,2024-06-14
4021,24.2188,2024-06-14
4022,19.0236,2024-06-14
7858,17.8321,2024-06-14
7859,23.4166,2024-06-14
4017,33.4411,2024-06-17
4018,28.853,2024-06-17
4019,37.0832,2024-06-17
4020,32.0116,2024-06-17
4021,28.6882,2024-06-17
4022,30.5218,2024-06-17
7858,30.2247,2024-06-17
7859,33.1576,2024-06-17
4017,21.9472,2024-06-19
4018,19.9606,2024-06-19
4019,24.0757,2024-06-19
4020,22.0414,2024-06-19
4021,21.0864,2024-06-19
4022,24.4862,2024-06-19
7858,20.3863,2024-06-19
7859,21.8122,2024-06-19
4017,16.2239,2024-06-21
4018,16.2239,2024-06-21
4019,14.5211,2024-06-21
4020,22.4998,2024-06-21
4021,21.201,2024-06-21
4022,22.347,2024-06-21
7858,18.3051,2024-06-21
7859,15.2418,2024-06-21
4017,25.0217,2024-06-24
4018,27.0556,2024-06-24
4019,28.1908,2024-06-24
4020,25.976,2024-06-24
4021,26.74,2024-06-24
4022,32.6228,2024-06-24
7858,26.8191,2024-06-24
7859,28.9938,2024-06-24
4017,22.0891,2024-06-26
4018,22.1837,2024-06-26
4019,23.3662,2024-06-26
4020,20.437,2024-06-26
4021,21.8886,2024-06-26
4022,21.5448,2024-06-26
7858,21.9945,2024-06-26
7859,24.1042,2024-06-26
4017,15.4671,2024-06-28
4018,21.0012,2024-06-28
4019,16.7915,2024-06-28
4020,18.9472,2024-06-28
4021,20.1314,2024-06-28
4022,23.6076,2024-06-28
7858,22.1837,2024-06-28
7859,20.1314,2024-06-28
4017,27.7651,2024-07-01
4018,27.1029,2024-07-01
4019,34.4344,2024-07-01
4020,30.1398,2024-07-01
4021,31.5532,2024-07-01
4022,38.1618,2024-07-01
7858,30.6504,2024-07-01
7859,23.111,2024-07-01
4017,NA,2024-07-02
4018,NA,2024-07-02
4019,NA,2024-07-02
4020,NA,2024-07-02
4021,NA,2024-07-02
4022,NA,2024-07-02
7858,NA,2024-07-02
7859,NA,2024-07-02
4017,30.1301,2024-07-03
4018,20.1971,2024-07-03
4019,20.2917,2024-07-03
4020,18.336,2024-07-03
4021,18.4506,2024-07-03
4022,20.1314,2024-07-03
7858,21.6634,2024-07-03
7859,18.8708,2024-07-03
4017,8.6086,2024-07-05
4018,16.4604,2024-07-05
4019,13.7643,2024-07-05
4020,20.5134,2024-07-05
4021,21.583,2024-07-05
4022,21.965,2024-07-05
7858,18.0686,2024-07-05
7859,19.8258,2024-07-05
4017,29.799,2024-07-08
4018,30.7923,2024-07-08
4019,28.2381,2024-07-08
4020,25.785,2024-07-08
4021,26.3962,2024-07-08
4022,29.1084,2024-07-08
7858,29.0895,2024-07-08
7859,29.1466,2024-07-08
4017,27.2448,2024-07-10
4018,16.5077,2024-07-10
4019,22.4675,2024-07-10
4020,20.055,2024-07-10
4021,20.6662,2024-07-10
4022,24.257,2024-07-10
7858,17.2645,2024-07-10
7859,19.7112,2024-07-10
4017,16.555,2024-07-12
4018,17.4064,2024-07-12
4019,18.6835,2024-07-12
4020,15.7384,2024-07-12
4021,21.6594,2024-07-12
4022,18.4888,2024-07-12
7858,15.2306,2024-07-12
7859,17.6484,2024-07-12
4017,27.3867,2024-07-15
4018,27.0556,2024-07-15
4019,25.0217,2024-07-15
4020,31.133,2024-07-15
4021,23.7986,2024-07-15
4022,33.0812,2024-07-15
7858,26.6772,2024-07-15
7859,27.4276,2024-07-15
4017,25.1636,2024-07-17
4018,22.6567,2024-07-17
4019,23.1297,2024-07-17
4020,21.4684,2024-07-17
4021,23.5312,2024-07-17
4022,20.1696,2024-07-17
7858,21.8526,2024-07-17
7859,22.538,2024-07-17
4017,21.7107,2024-07-19
4018,14.9941,2024-07-19
4019,19.3457,2024-07-19
4020,20.055,2024-07-19
4021,20.055,2024-07-19
4022,24.5626,2024-07-19
7858,21.0012,2024-07-19
7859,19.8258,2024-07-19
4017,30.2247,2024-07-22
4018,30.9815,2024-07-22
4019,31.6437,2024-07-22
4020,30.369,2024-07-22
4021,33.6542,2024-07-22
4022,32.9284,2024-07-22
7858,27.434,2024-07-22
7859,28.459,2024-07-22
4017,26.0623,2024-07-24
4018,21.1904,2024-07-24
4019,23.2243,2024-07-24
4020,18.6798,2024-07-24
4021,23.875,2024-07-24
4022,21.8504,2024-07-24
7858,17.8321,2024-07-24
7859,23.0728,2024-07-24
4017,15.3252,2024-07-26
4018,12.5345,2024-07-26
4019,18.7781,2024-07-26
4020,19.9786,2024-07-26
4021,19.7876,2024-07-26
4022,24.83,2024-07-26
7858,21.4269,2024-07-26
7859,18.2596,2024-07-26
4017,28.4746,2024-07-29
4018,27.5759,2024-07-29
4019,28.6638,2024-07-29
4020,27.7332,2024-07-29
4021,26.6636,2024-07-29
4022,28.8792,2024-07-29
7858,23.4135,2024-07-29
7859,26.74,2024-07-29
4017,23.9338,2024-07-31
4018,19.0619,2024-07-31
4019,23.0824,2024-07-31
4020,10.7724,2024-07-31
4021,11.3072,2024-07-31
4022,20.3224,2024-07-31
7858,21.758,2024-07-31
7859,17.8012,2024-07-31
4017,18.7308,2024-08-02
4018,11.9196,2024-08-02
4019,14.8995,2024-08-02
4020,12.9116,2024-08-02
4021,20.819,2024-08-02
4022,19.2528,2024-08-02
7858,17.8794,2024-08-02
7859,19.0618,2024-08-02
4017,29.4679,2024-08-05
4018,25.4474,2024-08-05
4019,28.2381,2024-08-05
4020,30.2162,2024-08-05
4021,31.4768,2024-08-05
4022,31.9352,2024-08-05
7858,37.84,2024-08-05
7859,29.6814,2024-08-05
4017,21.9472,2024-08-07
4018,22.1837,2024-08-07
4019,17.5956,2024-08-07
4020,22.0414,2024-08-07
4021,25.7468,2024-08-07
4022,23.8368,2024-08-07
7858,22.8932,2024-08-07
7859,19.864,2024-08-07
4017,15.1833,2024-08-09
4018,13.5751,2024-08-09
4019,23.0824,2024-08-09
4020,20.819,2024-08-09
4021,17.5338,2024-08-09
4022,22.9964,2024-08-09
7858,13.1494,2024-08-09
7859,17.5338,2024-08-09
4017,31.8329,2024-08-12
4018,25.7785,2024-08-12
4019,30.7923,2024-08-12
4020,26.4726,2024-08-12
4021,31.4004,2024-08-12
4022,32.5846,2024-08-12
7858,28.4746,2024-08-12
7859,30.3308,2024-08-12
4017,20.1025,2024-08-14
4018,27.7178,2024-08-14
4019,20.8593,2024-08-14
4020,22.9582,2024-08-14
4021,22.156,2024-08-14
4022,21.6594,2024-08-14
7858,26.6772,2024-08-14
7859,23.875,2024-08-14
4017,16.8861,2024-08-16
4018,14.8049,2024-08-16
4019,18.1632,2024-08-16
4020,21.5066,2024-08-16
4021,19.1764,2024-08-16
4022,20.8572,2024-08-16
7858,18.0686,2024-08-16
7859,21.8122,2024-08-16
4017,35.002,2024-08-19
4018,27.8597,2024-08-19
4019,34.2925,2024-08-19
4020,30.5218,2024-08-19
4021,34.6856,2024-08-19
4022,32.852,2024-08-19
7858,28.6638,2024-08-19
7859,28.6118,2024-08-19
4017,21.0485,2024-08-21
4018,24.0284,2024-08-21
4019,22.4202,2024-08-21
4020,21.6976,2024-08-21
4021,23.7222,2024-08-21
4022,22.9582,2024-08-21
7858,22.5621,2024-08-21
7859,22.9582,2024-08-21
4017,20.9539,2024-08-23
4018,13.2913,2024-08-23
4019,15.9874,2024-08-23
4020,20.6662,2024-08-23
4021,21.965,2024-08-23
4022,21.1246,2024-08-23
7858,19.4403,2024-08-23
7859,21.4302,2024-08-23
4017,31.6437,2024-08-26
4018,32.5424,2024-08-26
4019,34.4817,2024-08-26
4020,30.3308,2024-08-26
4021,33.0048,2024-08-26
4022,32.4318,2024-08-26
7858,21.3323,2024-08-26
7859,33.616,2024-08-26
4017,NA,2024-08-28
4018,NA,2024-08-26
4019,NA,2024-08-26
4020,NA,2024-08-26
4021,NA,2024-08-26
4022,NA,2024-08-26
7858,NA,2024-08-26
7859,NA,2024-08-26
4017,78.6126,2024-08-30
4018,65.747,2024-08-30
4019,45.8337,2024-08-30
4020,74.108,2024-08-30
4021,65.3602,2024-08-30
4022,54.9316,2024-08-30
7858,69.2945,2024-08-30
7859,60.7762,2024-08-30
