Subject,BW,11/24/25 9:00,11/24/25 10:00,11/24/25 11:00,11/24/25 12:00,11/24/25 13:00,11/24/25 14:00,11/24/25 15:00,11/24/25 16:00,11/24/25 17:00,11/24/25 18:00,11/24/25 19:00,11/24/25 20:00,11/24/25 21:00,11/24/25 22:00,11/24/25 23:00,11/25/25 0:00,11/25/25 1:00,11/25/25 2:00,11/25/25 3:00,11/25/25 4:00,11/25/25 5:00,11/25/25 6:00,11/25/25 7:00,11/25/25 8:00,11/25/25 9:00,11/25/25 10:00,11/25/25 11:00,11/25/25 12:00,11/25/25 13:00,11/25/25 14:00,11/25/25 15:00,11/25/25 16:00,11/25/25 17:00,11/25/25 18:00,11/25/25 19:00,11/25/25 20:00,11/25/25 21:00,11/25/25 22:00,11/25/25 23:00,11/26/25 0:00,11/26/25 1:00,11/26/25 2:00,11/26/25 3:00,11/26/25 4:00,11/26/25 5:00,11/26/25 6:00,11/26/25 7:00,11/26/25 8:00,11/26/25 9:00
403,43.57,833.5,1147,963.2,906.3333333,767.1666667,67.66666667,102.8333333,342.4,51.83333333,301,447.5,282,191.3333333,269.5,189.1666667,182.6,429.6666667,430.1666667,197.8333333,80,8,79.16666667,343,381.4,588.1666667,525,204.5,43.8,42.83333333,63.5,8.833333333,128.8333333,60.2,151.3333333,245.6666667,273.8333333,328,361,199.8333333,424.8333333,19.8,95.5,140.6666667,23.33333333,47,104,632.8333333,323.5,499
402,36.95,798,980.5,867,686.6666667,69,68.33333333,2.6,608.8333333,289.5,156.5,171.1666667,440,675,128,687.6666667,318.8,512.1666667,2266.5,1276,132.8,107.5,324.3333333,423.3333333,603.6,58.33333333,406.1666667,27,50.6,39,65.33333333,7.166666667,167,190.5,237,360.3333333,423.3333333,333,93.33333333,190.6666667,400.8333333,969.6,824.6666667,16,97.16666667,4.4,370.8333333,710,494.5,9.4
405,32.52,790.5,1308.5,1068.4,796.3333333,797.3333333,859,322.4,95.66666667,343.8333333,937.8333333,33.8,701.6666667,758,869.5,12,43.4,0,41.66666667,13.33333333,0,178,569.8333333,548.5,770.2,1133,1995.833333,212,14.4,25.83333333,35.16666667,5.833333333,290.2,692.8333333,740.8333333,22.83333333,90,421.5,705.1666667,353.5,142.8333333,7.6,179.6666667,16.83333333,43.16666667,149.4,331.6666667,951,1077.833333,0
407,51.42,590.5,885,837.4,297,17,0.5,173.4,18.66666667,221,87.66666667,93,504.1666667,378.5,30.83333333,276.2,12.16666667,291,281.5,54,373.6,2.333333333,79.83333333,365.6666667,353.2,0.333333333,327,16.33333333,4,6,143.8333333,87,83.4,56.66666667,210.3333333,20.5,198.2,462.6666667,70.16666667,276.1666667,6.6,292.3333333,1,93.16666667,1.833333333,4.4,163.3333333,329.1666667,136,535.8
410,58.92,982,1084,1445.666667,580.3333333,135.8333333,209.6666667,23,134.1666667,315,226,112.8,480.3333333,575.3333333,370.3333333,580.6,334.5,914.6666667,886.6666667,1105.4,160.8333333,94.5,548.1666667,50.8,26,408.1666667,380.8333333,158.2,330.3333333,171,43.66666667,157.3333333,83.6,60.83333333,322.5,236.1666667,331,555.8333333,144.3333333,130.5,467.4,454.5,621.5,60.33333333,335.4,110.8333333,136.3333333,152,642,25.33333333
411,31.94,858,967.6,895.1666667,809.3333333,503.8333333,103,240.3333333,324,191.6666667,382,240.2,425.8333333,498,143.8333333,46.2,369.5,226,598.3333333,816.8,888.6666667,17.33333333,85.5,355.4,135.8333333,48.5,10.33333333,233.4,171.8333333,2.333333333,17.66666667,504.4,18,173.6666667,97.33333333,408.5,289.4,425.1666667,40.16666667,270.1666667,573,548,42.5,190.3333333,71.8,5.833333333,411,487.8333333,0,0
417,42.04,1088,1141.4,983.6666667,1479.166667,1439.166667,60,630.5,39.66666667,469,187.8,180.1666667,715.1666667,272,914,913.4,1072.166667,866.1666667,58,33.6,268.3333333,17.83333333,385.3333333,283.8,417.1666667,841.3333333,598.6666667,31.2,396.8333333,21.5,37.66666667,383.6,32.33333333,55.5,640.8333333,30,474.5,266.8333333,426.5,204.1666667,200.8,43.16666667,555.6666667,18.83333333,390.8,93.33333333,569.6666667,286.3333333,489,321.1666667
418,41.9,972,989.8,794.5,728.5,1059.666667,245.4,308.5,2,447.3333333,81.2,336.5,728.8333333,249.6666667,616,11.5,634.3333333,27,1468.166667,70.6,0,0.166666667,315.5,10.2,558.5,235.6666667,365,0,142.8333333,0,33,0,153.6666667,5.166666667,270.3333333,631.6,1054.833333,938.5,21,448.8,438.1666667,0,246.8333333,0,0,9,179.5,426.5,185.6,579
400,47.65,909,1116,713.6666667,264.8333333,147,71.2,17.33333333,178,148.5,2.2,109.1666667,252.6666667,487.3333333,553,525.3333333,255.5,50.83333333,95,94,12.16666667,90.16666667,61.2,129,439.6666667,337.3333333,40.6,271.3333333,13.33333333,23,33.66666667,53.6,193.5,187.1666667,29.33333333,45.8,711.5,599,597.8333333,25.4,84.16666667,161.3333333,119,95.4,53.5,152.8333333,96.16666667,448.8,95.66666667,238.1666667
401,39.07,1157,1511.5,1394.166667,1467.166667,1062.2,42.5,442.6666667,6.666666667,783.3333333,655,2.5,337.6666667,634.1666667,303,104.5,323.6666667,45.33333333,792.4,1.666666667,53.16666667,1,138.6,345,1364,266.8333333,23,93,449.6666667,1,17.2,103.5,21.83333333,253,8,349,445.6666667,600,284.3333333,0.4,448.3333333,4,73,0.2,140.3333333,7.5,142,380.6,115.8333333,608
404,27.4,1128,1230.166667,1237.5,1088.666667,553.6,113.6666667,29,468,3.8,232.3333333,195.3333333,515,1325,1269.2,924.3333333,880.5,3161.333333,1813.2,324.6666667,481.6666667,1.833333333,693.4,284.5,1244,515.6666667,1296.2,199.1666667,269.3333333,250.3333333,0,12.16666667,549.8333333,0,252.2,117.6666667,533.8333333,687.1666667,1118.5,1111.2,742.8333333,1396.166667,19.33333333,78,10.5,3,867.3333333,537.2,434,476.1666667
406,26.15,1976,7822.5,7228,5391,3641.8,695.5,11.5,9.166666667,1418,196.8333333,0.833333333,7208,8860,10853.66667,11242.66667,13852.16667,12485.5,14622.8,9212.666667,10226.5,1383.333333,4562.6,0.666666667,6906.166667,8967.333333,13293,13230.66667,12770.33333,219.5,0.2,0.5,7,4.666666667,4468.8,7037.5,3170.5,11468,11557.4,12773.83333,11035.83333,10057.33333,8197.666667,20.6,1053.166667,3144.333333,3037.833333,63.2,2139,11499.33333
412,29.98,1383,942.8333333,534,440.6666667,19,34.16666667,243.3333333,20.5,509.4,508.5,403.3333333,482.6666667,784.4,188.8333333,316,548.6666667,772.8,201.8333333,43,149.8333333,84.8,390,264.8333333,703,384,0.833333333,170.3333333,129,53.16666667,11.2,385.5,8.833333333,555.8333333,53.8,420.1666667,320.1666667,1007.5,678.4,439.8333333,9.666666667,508.8333333,0,200,8,186.3333333,546,0,422.1666667,77.4
414,28.59,1059,972.1666667,815.6666667,732.4,724.6666667,585,34,301,605.6,189.1666667,131.6666667,713.3333333,594.2,144.8333333,423.5,403,621.6,1023.666667,739.5,240.5,58.8,332,0,400,38.2,772.6666667,4.333333333,0,221.8,0,0,121.5,114,0,223.6666667,144,414.8333333,115,342,457.3333333,724,0,0,118.8333333,0,221.2,221.5,265.1666667,1012
415,45.1,1650,1344.666667,940.6666667,834.8,774.5,184,162,511.8,24,379,52.16666667,539.6666667,603,560.1666667,393.6666667,97.5,444.4,1054,1440.166667,83,76.6,587.6666667,64.83333333,316.5,929.8,60,7.833333333,8.166666667,121.8,15.16666667,117,51.5,362.4,8.833333333,208.3333333,458.6666667,662.5,360.6,587.1666667,80.16666667,355,553,143.6666667,157.6666667,2.166666667,124.2,466.1666667,92.83333333,9.6