ID,SABLE,STRAIN,SEX,DIET_FORMULA,total_act,GROUP,DRUG
3706,BW loss,NZO/HlLtJ,F,D12450Ki,66.9394526,ad lib,vehicle
3706,BW maintenance,NZO/HlLtJ,F,D12450Ki,101.2794358999997,ad lib,vehicle
3706,BW regain,NZO/HlLtJ,F,D12450Ki,143.80124219999976,ad lib,vehicle
3706,baseline,NZO/HlLtJ,F,D12450Ki,49.347643449999865,ad lib,vehicle
3706,peak obesity,NZO/HlLtJ,F,D12450Ki,47.309610850000006,ad lib,vehicle
3707,BW loss,NZO/HlLtJ,F,D12450Ki,45.43903999999999,ad lib,vehicle
3707,BW maintenance,NZO/HlLtJ,F,D12450Ki,68.54285249999987,ad lib,vehicle
3707,BW regain,NZO/HlLtJ,F,D12450Ki,101.5931396499999,ad lib,vehicle
3707,baseline,NZO/HlLtJ,F,D12450Ki,55.764010000000006,ad lib,vehicle
3707,peak obesity,NZO/HlLtJ,F,D12450Ki,48.90957349999998,ad lib,vehicle
3708,BW loss,NZO/HlLtJ,F,D12450Ki,85.8725624999999,restricted,RTIOXA_47
3708,BW maintenance,NZO/HlLtJ,F,D12450Ki,92.35011769999991,restricted,RTIOXA_47
3708,BW regain,NZO/HlLtJ,F,D12450Ki,223.94117704999974,restricted,RTIOXA_47
3708,baseline,NZO/HlLtJ,F,D12450Ki,65.42636994999995,restricted,RTIOXA_47
3708,peak obesity,NZO/HlLtJ,F,D12450Ki,62.14762499999998,restricted,RTIOXA_47
3709,BW loss,NZO/HlLtJ,F,D12450Ki,78.22355399999998,ad lib,vehicle
3709,BW maintenance,NZO/HlLtJ,F,D12450Ki,87.04224624999986,ad lib,vehicle
3709,BW regain,NZO/HlLtJ,F,D12450Ki,74.07510814999992,ad lib,vehicle
3709,baseline,NZO/HlLtJ,F,D12450Ki,45.72313145,ad lib,vehicle
3709,peak obesity,NZO/HlLtJ,F,D12450Ki,50.02456624999998,ad lib,vehicle
3710,BW loss,NZO/HlLtJ,F,D12450Ki,53.25742149999999,restricted,RTIOXA_47
3710,BW maintenance,NZO/HlLtJ,F,D12450Ki,62.9727967,restricted,RTIOXA_47
3710,BW regain,NZO/HlLtJ,F,D12450Ki,137.34705549999993,restricted,RTIOXA_47
3710,baseline,NZO/HlLtJ,F,D12450Ki,57.285502250000036,restricted,RTIOXA_47
3710,peak obesity,NZO/HlLtJ,F,D12450Ki,59.80511,restricted,RTIOXA_47
3711,BW loss,NZO/HlLtJ,F,D12450Ki,70.79734629999993,ad lib,vehicle
3711,BW maintenance,NZO/HlLtJ,F,D12450Ki,107.93008239999996,ad lib,vehicle
3711,BW regain,NZO/HlLtJ,F,D12450Ki,149.65186824999986,ad lib,vehicle
3711,baseline,NZO/HlLtJ,F,D12450Ki,62.42698949999992,ad lib,vehicle
3711,peak obesity,NZO/HlLtJ,F,D12450Ki,87.48899149999974,ad lib,vehicle
3713,BW loss,NZO/HlLtJ,F,D12450Ki,61.929185,ad lib,vehicle
3713,BW maintenance,NZO/HlLtJ,F,D12450Ki,66.80065039999997,ad lib,vehicle
3713,BW regain,NZO/HlLtJ,F,D12450Ki,57.17556154999997,ad lib,vehicle
3713,baseline,NZO/HlLtJ,F,D12450Ki,42.603035000000006,ad lib,vehicle
3713,peak obesity,NZO/HlLtJ,F,D12450Ki,71.81709459999999,ad lib,vehicle
3714,BW loss,NZO/HlLtJ,F,D12450Ki,64.32183949999998,restricted,vehicle
3714,BW maintenance,NZO/HlLtJ,F,D12450Ki,52.750228750000005,restricted,vehicle
3714,BW regain,NZO/HlLtJ,F,D12450Ki,88.21552550000001,restricted,vehicle
3714,baseline,NZO/HlLtJ,F,D12450Ki,38.17666655000001,restricted,vehicle
3714,peak obesity,NZO/HlLtJ,F,D12450Ki,37.20905,restricted,vehicle
3716,BW loss,NZO/HlLtJ,F,D12450Ki,81.17889609999986,ad lib,RTIOXA_47
3716,BW maintenance,NZO/HlLtJ,F,D12450Ki,102.24046764999987,ad lib,RTIOXA_47
3716,BW regain,NZO/HlLtJ,F,D12450Ki,111.49110050000002,ad lib,RTIOXA_47
3716,baseline,NZO/HlLtJ,F,D12450Ki,47.507577200000014,ad lib,RTIOXA_47
3716,peak obesity,NZO/HlLtJ,F,D12450Ki,120.02343079999986,ad lib,RTIOXA_47
3717,BW loss,NZO/HlLtJ,F,D12450Ki,85.11227649999998,ad lib,RTIOXA_47
3717,BW maintenance,NZO/HlLtJ,F,D12450Ki,129.31758074999985,ad lib,RTIOXA_47
3717,BW regain,NZO/HlLtJ,F,D12450Ki,60.54579249999999,ad lib,RTIOXA_47
3717,baseline,NZO/HlLtJ,F,D12450Ki,121.5423685,ad lib,RTIOXA_47
3717,peak obesity,NZO/HlLtJ,F,D12450Ki,100.57783309999996,ad lib,RTIOXA_47
3718,BW loss,NZO/HlLtJ,F,D12450Ki,68.86794300000003,ad lib,RTIOXA_47
3718,BW maintenance,NZO/HlLtJ,F,D12450Ki,77.63519019999994,ad lib,RTIOXA_47
3718,BW regain,NZO/HlLtJ,F,D12450Ki,59.915724850000004,ad lib,RTIOXA_47
3718,baseline,NZO/HlLtJ,F,D12450Ki,44.343888549999996,ad lib,RTIOXA_47
3718,peak obesity,NZO/HlLtJ,F,D12450Ki,88.25483799999995,ad lib,RTIOXA_47
3719,BW loss,NZO/HlLtJ,F,D12450Ki,67.58892399999996,ad lib,RTIOXA_47
3719,BW maintenance,NZO/HlLtJ,F,D12450Ki,86.09778599999984,ad lib,RTIOXA_47
3719,BW regain,NZO/HlLtJ,F,D12450Ki,81.73420589999992,ad lib,RTIOXA_47
3719,baseline,NZO/HlLtJ,F,D12450Ki,57.6612796,ad lib,RTIOXA_47
3719,peak obesity,NZO/HlLtJ,F,D12450Ki,23.961274000000003,ad lib,RTIOXA_47
3720,BW loss,NZO/HlLtJ,F,D12450Ki,71.24951824999997,restricted,vehicle
3720,BW maintenance,NZO/HlLtJ,F,D12450Ki,58.53643095000001,restricted,vehicle
3720,BW regain,NZO/HlLtJ,F,D12450Ki,84.92817265,restricted,vehicle
3720,baseline,NZO/HlLtJ,F,D12450Ki,77.56437874999986,restricted,vehicle
3720,peak obesity,NZO/HlLtJ,F,D12450Ki,49.68511000000001,restricted,vehicle
3721,BW loss,NZO/HlLtJ,F,D12450Ki,91.40596799999999,restricted,RTIOXA_47
3721,BW maintenance,NZO/HlLtJ,F,D12450Ki,83.09844500000001,restricted,RTIOXA_47
3721,BW regain,NZO/HlLtJ,F,D12450Ki,80.73984099999987,restricted,RTIOXA_47
3721,baseline,NZO/HlLtJ,F,D12450Ki,75.64316569999977,restricted,RTIOXA_47
3721,peak obesity,NZO/HlLtJ,F,D12450Ki,97.98449889999995,restricted,RTIOXA_47
3722,BW loss,NZO/HlLtJ,F,D12450Ki,73.96115900000001,restricted,RTIOXA_47
3722,BW maintenance,NZO/HlLtJ,F,D12450Ki,81.87222149999994,restricted,RTIOXA_47
3722,BW regain,NZO/HlLtJ,F,D12450Ki,123.449707,restricted,RTIOXA_47
3722,baseline,NZO/HlLtJ,F,D12450Ki,66.7255815499999,restricted,RTIOXA_47
3722,peak obesity,NZO/HlLtJ,F,D12450Ki,40.71530099999999,restricted,RTIOXA_47
3723,BW loss,NZO/HlLtJ,F,D12450Ki,50.81541849999999,restricted,RTIOXA_47
3723,BW maintenance,NZO/HlLtJ,F,D12450Ki,77.6397279999999,restricted,RTIOXA_47
3723,BW regain,NZO/HlLtJ,F,D12450Ki,67.84547299999997,restricted,RTIOXA_47
3723,baseline,NZO/HlLtJ,F,D12450Ki,36.98467255,restricted,RTIOXA_47
3723,peak obesity,NZO/HlLtJ,F,D12450Ki,42.4981195,restricted,RTIOXA_47
3724,BW loss,NZO/HlLtJ,F,D12450Ki,70.33557319999998,restricted,vehicle
3724,BW maintenance,NZO/HlLtJ,F,D12450Ki,115.27825899999992,restricted,vehicle
3724,BW regain,NZO/HlLtJ,F,D12450Ki,110.44240299999998,restricted,vehicle
3724,baseline,NZO/HlLtJ,F,D12450Ki,42.605154999999996,restricted,vehicle
3724,peak obesity,NZO/HlLtJ,F,D12450Ki,76.480065,restricted,vehicle
3725,BW loss,NZO/HlLtJ,F,D12450Ki,81.00528935,restricted,vehicle
3725,BW maintenance,NZO/HlLtJ,F,D12450Ki,95.11517810000001,restricted,vehicle
3725,BW regain,NZO/HlLtJ,F,D12450Ki,93.118719,restricted,vehicle
3725,baseline,NZO/HlLtJ,F,D12450Ki,39.78274999999999,restricted,vehicle
3725,peak obesity,NZO/HlLtJ,F,D12450Ki,39.44288750000001,restricted,vehicle
3726,BW loss,NZO/HlLtJ,F,D12450Ki,66.61970094999995,ad lib,RTIOXA_47
3726,BW maintenance,NZO/HlLtJ,F,D12450Ki,146.9275506499996,ad lib,RTIOXA_47
3726,BW regain,NZO/HlLtJ,F,D12450Ki,68.82033034999999,ad lib,RTIOXA_47
3726,baseline,NZO/HlLtJ,F,D12450Ki,79.22064165000005,ad lib,RTIOXA_47
3726,peak obesity,NZO/HlLtJ,F,D12450Ki,59.19065,ad lib,RTIOXA_47
3727,BW loss,NZO/HlLtJ,F,D12450Ki,73.0733749,restricted,vehicle
3727,BW maintenance,NZO/HlLtJ,F,D12450Ki,102.45947340000001,restricted,vehicle
3727,BW regain,NZO/HlLtJ,F,D12450Ki,72.84065025000001,restricted,vehicle
3727,baseline,NZO/HlLtJ,F,D12450Ki,56.004009100000005,restricted,vehicle
3727,peak obesity,NZO/HlLtJ,F,D12450Ki,61.25677649999997,restricted,vehicle
3728,BW loss,NZO/HlLtJ,F,D12450Ki,89.93065349999998,restricted,vehicle
3728,BW maintenance,NZO/HlLtJ,F,D12450Ki,119.2620122499999,restricted,vehicle
3728,BW regain,NZO/HlLtJ,F,D12450Ki,124.98306115,restricted,vehicle
3728,baseline,NZO/HlLtJ,F,D12450Ki,53.64426249999998,restricted,vehicle
3728,peak obesity,NZO/HlLtJ,F,D12450Ki,52.08332200000001,restricted,vehicle
3729,BW loss,NZO/HlLtJ,F,D12450Ki,73.02292625,restricted,RTIOXA_47
3729,BW maintenance,NZO/HlLtJ,F,D12450Ki,100.89390499999982,restricted,RTIOXA_47
3729,BW regain,NZO/HlLtJ,F,D12450Ki,119.00685249999995,restricted,RTIOXA_47
3729,baseline,NZO/HlLtJ,F,D12450Ki,52.24546620000001,restricted,RTIOXA_47
3729,peak obesity,NZO/HlLtJ,F,D12450Ki,51.005176999999975,restricted,RTIOXA_47
7872,BW loss,C57BL6/J,F,D12451i,328.94880694999983,restricted,vehicle
7872,BW maintenance,C57BL6/J,F,D12451i,368.2970211000003,restricted,vehicle
7872,BW regain,C57BL6/J,F,D12451i,203.56126624999996,restricted,vehicle
7872,peak obesity,C57BL6/J,F,D12451i,247.57278884999943,restricted,vehicle
7873,BW loss,C57BL6/J,F,D12451i,141.36362650000004,ad lib,RTIOXA_47
7873,BW maintenance,C57BL6/J,F,D12451i,178.9669305,ad lib,RTIOXA_47
7873,BW regain,C57BL6/J,F,D12451i,142.62566719999998,ad lib,RTIOXA_47
7873,peak obesity,C57BL6/J,F,D12451i,113.25265999999998,ad lib,RTIOXA_47
7874,BW loss,C57BL6/J,F,D12451i,248.29447924999988,restricted,RTIOXA_47
7874,BW maintenance,C57BL6/J,F,D12451i,302.3563336500001,restricted,RTIOXA_47
7874,BW regain,C57BL6/J,F,D12451i,117.5320735,restricted,RTIOXA_47
7874,peak obesity,C57BL6/J,F,D12451i,217.4774399999996,restricted,RTIOXA_47
7876,BW loss,C57BL6/J,F,D12451i,228.8981329,ad lib,vehicle
7876,BW maintenance,C57BL6/J,F,D12451i,264.7641134999999,ad lib,vehicle
7876,BW regain,C57BL6/J,F,D12451i,175.89802100000003,ad lib,vehicle
7876,peak obesity,C57BL6/J,F,D12451i,290.09963204999985,ad lib,vehicle
7877,BW loss,C57BL6/J,F,D12451i,401.8430242999999,restricted,RTIOXA_47
7877,BW maintenance,C57BL6/J,F,D12451i,308.76129049999986,restricted,RTIOXA_47
7877,BW regain,C57BL6/J,F,D12451i,180.34484514999997,restricted,RTIOXA_47
7877,peak obesity,C57BL6/J,F,D12451i,248.2177248999996,restricted,RTIOXA_47
7878,BW loss,C57BL6/J,F,D12451i,331.7498447499994,restricted,vehicle
7878,BW maintenance,C57BL6/J,F,D12451i,279.71284685000006,restricted,vehicle
7878,BW regain,C57BL6/J,F,D12451i,216.54243104999972,restricted,vehicle
7878,peak obesity,C57BL6/J,F,D12451i,240.589395,restricted,vehicle
7879,BW loss,C57BL6/J,F,D12451i,234.96217685,ad lib,RTIOXA_47
7879,BW maintenance,C57BL6/J,F,D12451i,191.81740989999997,ad lib,RTIOXA_47
7879,BW regain,C57BL6/J,F,D12451i,27.969051450000002,ad lib,RTIOXA_47
7879,peak obesity,C57BL6/J,F,D12451i,237.07490499999972,ad lib,RTIOXA_47
7875,BW loss,C57BL6/J,F,D12451i,232.0054900499996,ad lib,vehicle
7875,BW maintenance,C57BL6/J,F,D12451i,217.20087399999983,ad lib,vehicle
7875,BW regain,C57BL6/J,F,D12451i,129.00134644999997,ad lib,vehicle
7875,peak obesity,C57BL6/J,F,D12451i,230.86288749999937,ad lib,vehicle
7880,BW loss,C57BL6/J,F,D12450Ki,225.84274754999993,ad lib,vehicle
7880,BW maintenance,C57BL6/J,F,D12450Ki,188.68598,ad lib,vehicle
7880,BW regain,C57BL6/J,F,D12450Ki,130.17411040000002,ad lib,vehicle
7880,peak obesity,C57BL6/J,F,D12450Ki,123.41641499999997,ad lib,vehicle
7881,BW loss,C57BL6/J,F,D12450Ki,336.9467952500001,ad lib,vehicle
7881,BW maintenance,C57BL6/J,F,D12450Ki,227.03507835,ad lib,vehicle
7881,BW regain,C57BL6/J,F,D12450Ki,142.43398949999994,ad lib,vehicle
7881,peak obesity,C57BL6/J,F,D12450Ki,259.27167,ad lib,vehicle
7883,BW loss,C57BL6/J,F,D12450Ki,239.9427303,ad lib,vehicle
7883,BW maintenance,C57BL6/J,F,D12450Ki,221.1219450499999,ad lib,vehicle
7883,BW regain,C57BL6/J,F,D12450Ki,178.2334586,ad lib,vehicle
7883,peak obesity,C57BL6/J,F,D12450Ki,297.11684500000007,ad lib,vehicle
7882,BW loss,C57BL6/J,F,D12450Ki,347.5987549999995,ad lib,vehicle
7882,BW maintenance,C57BL6/J,F,D12450Ki,193.55202830000007,ad lib,vehicle
7882,BW regain,C57BL6/J,F,D12450Ki,167.79998295000001,ad lib,vehicle
7882,peak obesity,C57BL6/J,F,D12450Ki,255.53092000000004,ad lib,vehicle
