ID,STRAIN,SEX,peak obesity,BW regain,y1,y2,y3,y4,DIET_FORMULA,y1_std_resid,y2_std_resid,y3_std_resid,y4_std_resid,y1_z,y2_z,y3_z,y4_z
3708,NZO/HlLtJ,F,49.21,44.87,-0.87708988462015,-0.44469360004434194,-1.1443966748609538,0.20897839895130071,D12450Ki,-1.0144128876474396,-0.5688235984508143,-1.2297339763748651,0.5091797993905574,-0.5193173470030937,-0.23873728239411193,-1.0806297890928285,0.7021758650950725
3710,NZO/HlLtJ,F,55.86,49.19,-1.4755034776349394,0.14848856720176104,-1.071050282221388,-1.0350820251165045,D12450Ki,-1.4214349923645695,0.3742136122249442,-0.9919912882468868,-1.0060968006183098,-1.2299456495114165,0.6091698777634593,-0.9955867887696764,-0.8621528123820945
3714,NZO/HlLtJ,F,49.13,45.25,-0.7003334175871748,-0.9676379692978756,-0.9542475076342384,-1.4464405052368858,D12450Ki,-0.6345423718936662,-0.9378886118130112,-0.9771813964440462,-1.5393874042819795,-0.30941545040311597,-0.9862450456714799,-0.8601573826395965,-1.3794105393593983
3720,NZO/HlLtJ,F,35.36,35.75,1.0252531877485138,0.2592650370885229,0.6427420074289346,-0.26341202298504784,D12450Ki,0.9822451438038547,0.48473671157867215,0.5475839560034914,-0.29980801111478766,1.7397537103490421,0.7675161113160189,0.9915053230232537,0.10817426380284084
3721,NZO/HlLtJ,F,42.72,37.96,-1.3224608159736848,-0.8056210324912164,-1.0868291786932254,-0.7708530982298213,D12450Ki,-1.5062602583947533,-0.9503501837747425,-1.1652895362898812,-0.7052413438509251,-1.0482043786960573,-0.7546546028519675,-1.0138819584359973,-0.5299013559807069
3722,NZO/HlLtJ,F,39.48,40.16,1.144016761075341,0.05328095020713185,1.788584941114822,1.5464416443994726,D12450Ki,1.112043254737113,-0.10156732079231856,1.879460767718389,1.592168598598356,1.8807878671566736,0.473078092459008,2.3200767424602424,2.383952786416239
3723,NZO/HlLtJ,F,44.01,41.45,-0.30144051437063657,-0.04301072421974274,-0.15458399337475634,0.23407496688344176,D12450Ki,-0.30030293807164365,-0.04978356278145787,-0.21279747304584912,0.25220648441081456,0.16427797836293087,0.33543673248832856,0.0670291094864977,0.7337332397715636
3724,NZO/HlLtJ,F,44.66,40.56,-0.946327080802039,-0.10971863426015374,-0.5462951167987637,-0.1917671848778432,D12450Ki,-0.9322600248290992,-0.1110270923249242,-0.5791069691022237,-0.14346376163410682,-0.6015379244891327,0.24008303224982355,-0.3871484989424721,0.19826319571970463
3725,NZO/HlLtJ,F,40.78,37.54,-0.7094702464048734,-1.589532800101396,-0.4193947494915175,-1.0461671081240131,D12450Ki,-0.6832439254936165,-1.798491045779092,-0.381963291928439,-1.1257325572004468,-0.32026562030035927,-1.8751946955764356,-0.24001122893450344,-0.8760916154381071
3727,NZO/HlLtJ,F,42.56,38.73,-0.911545511492796,-1.0254065277500717,0.22154056714402656,-0.8510213645842566,D12450Ki,-0.8401908046330052,-0.997424952319202,0.24517224757189368,-0.9695787297606924,-0.5602341041125255,-1.0688206473133885,0.5031345534028968,-0.6307079692734997
3728,NZO/HlLtJ,F,44.68,41.75,-0.44348597806670537,0.34060301326563336,0.09771398372320826,-0.4922283130331311,D12450Ki,-0.4294792382408468,0.5658886496341404,0.05796122996633868,-0.5092374045995128,-0.0044038963866125614,0.8837823381203127,0.35956124604720696,-0.17954800231165524
3729,NZO/HlLtJ,F,47.2,45.79,0.24105701167487548,0.8518615252721787,0.07748702008165706,-0.08579793387282891,D12450Ki,0.22849057128593603,1.0759777992134698,0.0397904559017415,-0.13724261444090022,0.8085048150336666,1.614586089410433,0.3361086723949765,0.331512943940041
7861,C57BL6/J,M,41.76,41.3,0.6026020970566912,1.7985256166060293,-0.24480137167111712,0.9142816811175496,D12451i,0.5760008876998417,2.0204766582947444,-0.2497354291476535,0.7781033478586356,0.3511410497846269,0.8060050403493407,-0.3250219593861469,0.3145221372757151
7863,C57BL6/J,M,37.92,38.61,1.1626579512804176,-0.03792083500796503,-0.539608503941218,0.5928728794185647,D12451i,1.1344414793829274,-0.04511061200057387,-0.572853968766769,0.5855827313276726,1.167023855673167,-0.310627060735013,-0.5977050347494021,-0.49919182836672676
7865,C57BL6/J,M,49.26,47.51,0.1326772023491994,1.7632927411745092,-0.5054482507552426,0.37315550266553543,D12451i,0.17652542861631856,1.8766116117305929,-0.5106080242135599,0.20194322927921385,-0.3334400304046827,0.7845820581078684,-0.56610836738857,-1.0554525686239422
7866,C57BL6/J,M,37.27,34.81,-0.45168008207483384,-1.632114754645303,1.7162227014670173,1.2798843852210129,D12451i,-0.5446096783626471,-1.8240142482304855,1.97261155323768,1.8364803361576536,-1.1847248750531112,-1.279960037722196,1.488835361524119,1.2401222597149537
7872,C57BL6/J,F,21.79,21.6,0.6466168008257194,0.7394639382648318,-0.6472704154607787,-0.596173636857412,D12451i,0.6769270438600405,0.8214525102529774,-0.6580468727175586,-0.7256926400699445,-0.2978895792990463,0.3694524491531807,-0.8622373815392705,-0.5460263031586766
7874,C57BL6/J,F,25.53,23.96,-0.3652402280821871,-1.0411110746090373,-0.579397073473647,-0.9706705627295784,D12451i,-0.3498227920023935,-1.2320057475452597,-0.5458384881505701,-1.0465875077260014,-1.2666194836944518,-1.3645329798312338,-0.8125516317310328,-0.7853459695824451
7877,C57BL6/J,F,28.58,30.33,1.9877514969514216,1.3877346934012027,1.2492286574300868,2.51148110964427,D12451i,2.1493874458223843,1.368186578109085,1.4498309618550498,3.362943923406555,0.9860835995614409,1.000760894636133,0.5260687735499479,1.4398989365771797
7878,C57BL6/J,F,23.32,24.23,1.561944728147837,0.3542518699453132,2.09980323998708,0.08844318734617546,D12451i,1.5681437834680152,0.4244525247757031,2.197821089500144,-0.07052289741297127,0.5784254634320571,-0.005680363958080142,1.1487202397203555,-0.10852666383605791
